                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  17-03-2024 17:37:48:767:921               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:48:868:702        received response from 23928                                 -
  17-03-2024 17:37:48:868:794                         current pid                              23922
  17-03-2024 17:37:48:868:880               sent SIGUSR1 to 23922                                 -
   17-03-2024 17:37:48:970:98        received response from 23922                                 -
  17-03-2024 17:37:48:970:152                         current pid                              23923
  17-03-2024 17:37:48:970:212               sent SIGUSR1 to 23923                                 -
   17-03-2024 17:37:49:71:148        received response from 23923                                 -
   17-03-2024 17:37:49:71:193                         current pid                              23928
   17-03-2024 17:37:49:71:250               sent SIGUSR1 to 23928                                 -
   17-03-2024 17:37:49:72:425        received response from 23928                                 -
   17-03-2024 17:37:49:72:482                         current pid                              23922
   17-03-2024 17:37:49:72:597               sent SIGUSR1 to 23922                                 -
   17-03-2024 17:37:49:173:84        received response from 23922                                 -
  17-03-2024 17:37:49:173:184                         current pid                              23923
  17-03-2024 17:37:49:173:278               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:49:274:674        received response from 23923                                 -
  17-03-2024 17:37:49:274:785                         current pid                              23928
  17-03-2024 17:37:49:274:880               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:49:375:590        received response from 23928                                 -
  17-03-2024 17:37:49:375:706                         current pid                              23922
  17-03-2024 17:37:49:375:829               sent SIGUSR1 to 23922                                 -
   17-03-2024 17:37:49:477:28        received response from 23922                                 -
  17-03-2024 17:37:49:477:170                         current pid                              23923
  17-03-2024 17:37:49:477:278               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:49:577:984        received response from 23923                                 -
  17-03-2024 17:37:49:578:152                         current pid                              23928
  17-03-2024 17:37:49:578:276               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:49:679:292        received response from 23928                                 -
  17-03-2024 17:37:49:679:353                         current pid                              23922
  17-03-2024 17:37:49:679:436               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:49:780:653        received response from 23922                                 -
  17-03-2024 17:37:49:780:716                         current pid                              23923
  17-03-2024 17:37:49:780:798               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:49:881:675        received response from 23923                                 -
  17-03-2024 17:37:49:881:734                         current pid                              23928
  17-03-2024 17:37:49:881:816               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:49:982:374        received response from 23928                                 -
  17-03-2024 17:37:49:982:436                         current pid                              23922
  17-03-2024 17:37:49:982:522               sent SIGUSR1 to 23922                                 -
    17-03-2024 17:37:50:83:37        received response from 23922                                 -
   17-03-2024 17:37:50:83:137                         current pid                              23923
   17-03-2024 17:37:50:83:220               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:50:183:973        received response from 23923                                 -
   17-03-2024 17:37:50:184:71                         current pid                              23928
