                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
   17-03-2024 17:37:47:354:36            Server performed 1 cycle                                 -
  17-03-2024 17:37:47:354:172                     keypressedValue                                 -1
  17-03-2024 17:37:47:354:218                      dronePositionY                                 15
  17-03-2024 17:37:47:354:259                      dronePositionX                                 15
  17-03-2024 17:37:47:454:569            Server performed 1 cycle                                 -
  17-03-2024 17:37:47:454:703                     keypressedValue                                 -1
  17-03-2024 17:37:47:454:826                      dronePositionY                                 15
  17-03-2024 17:37:47:454:871                      dronePositionX                                 15
  17-03-2024 17:37:47:555:427            Server performed 1 cycle                                 -
  17-03-2024 17:37:47:555:510                     keypressedValue                                 -1
  17-03-2024 17:37:47:555:553                      dronePositionY                                 15
  17-03-2024 17:37:47:555:594                      dronePositionX                                 15
  17-03-2024 17:37:47:656:161            Server performed 1 cycle                                 -
  17-03-2024 17:37:47:656:247                     keypressedValue                                 -1
  17-03-2024 17:37:47:656:292                      dronePositionY                                 15
  17-03-2024 17:37:47:656:337                      dronePositionX                                 15
  17-03-2024 17:37:47:757:208            Server performed 1 cycle                                 -
  17-03-2024 17:37:47:757:353                     keypressedValue                                 -1
  17-03-2024 17:37:47:757:402                      dronePositionY                                 15
  17-03-2024 17:37:47:757:445                      dronePositionX                                 15
  17-03-2024 17:37:47:857:966            Server performed 1 cycle                                 -
  17-03-2024 17:37:47:858:115                     keypressedValue                                 -1
  17-03-2024 17:37:47:858:166                      dronePositionY                                 15
  17-03-2024 17:37:47:858:208                      dronePositionX                                 15
  17-03-2024 17:37:47:959:638            Server performed 1 cycle                                 -
  17-03-2024 17:37:47:959:733                     keypressedValue                                 -1
  17-03-2024 17:37:47:959:781                      dronePositionY                                 15
  17-03-2024 17:37:47:959:956                      dronePositionX                                 15
   17-03-2024 17:37:48:60:860            Server performed 1 cycle                                 -
    17-03-2024 17:37:48:61:34                     keypressedValue                                 -1
    17-03-2024 17:37:48:61:89                      dronePositionY                                 15
   17-03-2024 17:37:48:61:136                      dronePositionX                                 15
  17-03-2024 17:37:48:161:305            Server performed 1 cycle                                 -
  17-03-2024 17:37:48:161:423                     keypressedValue                                 -1
  17-03-2024 17:37:48:161:458                      dronePositionY                                 15
  17-03-2024 17:37:48:161:488                      dronePositionX                                 15
  17-03-2024 17:37:48:262:131            Server performed 1 cycle                                 -
  17-03-2024 17:37:48:262:252                     keypressedValue                                 -1
  17-03-2024 17:37:48:262:291                      dronePositionY                                 15
