                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  15-03-2024 12:58:40:299:610                      dronePositionY                                 15
  15-03-2024 12:58:40:299:634                      dronePositionX                                 15
   15-03-2024 12:58:40:400:75            Server performed 1 cycle                                 -
  15-03-2024 12:58:40:400:159                     keypressedValue                                 -1
  15-03-2024 12:58:40:400:186                      dronePositionY                                 15
  15-03-2024 12:58:40:400:209                      dronePositionX                                 15
  15-03-2024 12:58:40:501:350            Server performed 1 cycle                                 -
  15-03-2024 12:58:40:501:438                     keypressedValue                                 -1
  15-03-2024 12:58:40:501:464                      dronePositionY                                 15
  15-03-2024 12:58:40:501:487                      dronePositionX                                 15
  15-03-2024 12:58:40:602:150            Server performed 1 cycle                                 -
  15-03-2024 12:58:40:602:262                     keypressedValue                                 -1
  15-03-2024 12:58:40:602:291                      dronePositionY                                 15
  15-03-2024 12:58:40:602:317                      dronePositionX                                 15
  15-03-2024 12:58:40:702:565            Server performed 1 cycle                                 -
  15-03-2024 12:58:40:702:673                     keypressedValue                                 -1
  15-03-2024 12:58:40:702:702                      dronePositionY                                 15
  15-03-2024 12:58:40:702:725                      dronePositionX                                 15
  15-03-2024 12:58:40:803:307            Server performed 1 cycle                                 -
  15-03-2024 12:58:40:803:421                     keypressedValue                                 -1
  15-03-2024 12:58:40:803:466                      dronePositionY                                 15
  15-03-2024 12:58:40:803:506                      dronePositionX                                 15
  15-03-2024 12:58:40:903:769            Server performed 1 cycle                                 -
  15-03-2024 12:58:40:903:863                     keypressedValue                                 -1
  15-03-2024 12:58:40:903:890                      dronePositionY                                 15
  15-03-2024 12:58:40:903:913                      dronePositionX                                 15
    15-03-2024 12:58:41:4:701            Server performed 1 cycle                                 -
    15-03-2024 12:58:41:4:753                     keypressedValue                                 -1
    15-03-2024 12:58:41:4:778                      dronePositionY                                 15
    15-03-2024 12:58:41:4:802                      dronePositionX                                 15
  15-03-2024 12:58:41:105:793            Server performed 1 cycle                                 -
  15-03-2024 12:58:41:105:966                     keypressedValue                                 -1
   15-03-2024 12:58:41:106:64                      dronePositionY                                 15
  15-03-2024 12:58:41:106:156                      dronePositionX                                 15
  15-03-2024 12:58:41:206:989            Server performed 1 cycle                                 -
   15-03-2024 12:58:41:207:62                     keypressedValue                                 -1
   15-03-2024 12:58:41:207:96                      dronePositionY                                 15
  15-03-2024 12:58:41:207:127                      dronePositionX                                 15
  15-03-2024 12:58:41:311:390            Server performed 1 cycle                                 -
  15-03-2024 12:58:41:311:608                     keypressedValue                                 -1
  15-03-2024 12:58:41:311:789                      dronePositionY                                 15
  15-03-2024 12:58:41:311:901                      dronePositionX                                 15
  15-03-2024 12:58:41:414:457            Server performed 1 cycle                                 -
  15-03-2024 12:58:41:414:570                     keypressedValue                                 -1
  15-03-2024 12:58:41:414:597                      dronePositionY                                 15
  15-03-2024 12:58:41:414:622                      dronePositionX                                 15
  15-03-2024 12:58:41:515:666            Server performed 1 cycle                                 -
  15-03-2024 12:58:41:515:771                     keypressedValue                                 -1
  15-03-2024 12:58:41:515:799                      dronePositionY                                 15
  15-03-2024 12:58:41:515:823                      dronePositionX                                 15
  15-03-2024 12:58:41:616:564            Server performed 1 cycle                                 -
  15-03-2024 12:58:41:616:660                     keypressedValue                                 -1
  15-03-2024 12:58:41:616:687                      dronePositionY                                 15
  15-03-2024 12:58:41:616:711                      dronePositionX                                 15
   15-03-2024 12:58:41:717:32            Server performed 1 cycle                                 -
  15-03-2024 12:58:41:717:174                     keypressedValue                                 -1
  15-03-2024 12:58:41:717:238                      dronePositionY                                 15
  15-03-2024 12:58:41:717:282                      dronePositionX                                 15
  15-03-2024 12:58:41:818:464            Server performed 1 cycle                                 -
    15-03-2024 12:58:41:819:3                     keypressedValue                                 -1
   15-03-2024 12:58:41:819:32                      dronePositionY                                 15
   15-03-2024 12:58:41:819:56                      dronePositionX                                 15
  15-03-2024 12:58:41:919:459            Server performed 1 cycle                                 -
  15-03-2024 12:58:41:919:551                     keypressedValue                                 -1
  15-03-2024 12:58:41:919:578                      dronePositionY                                 15
  15-03-2024 12:58:41:919:602                      dronePositionX                                 15
   15-03-2024 12:58:42:19:983            Server performed 1 cycle                                 -
    15-03-2024 12:58:42:20:52                     keypressedValue                                108
    15-03-2024 12:58:42:20:91                      dronePositionY                                 15
   15-03-2024 12:58:42:20:167                      dronePositionX                                 15
  15-03-2024 12:58:42:120:859            Server performed 1 cycle                                 -
  15-03-2024 12:58:42:120:975                     keypressedValue                                108
   15-03-2024 12:58:42:121:11                      dronePositionY                                 15
   15-03-2024 12:58:42:121:42                      dronePositionX                                 15
  15-03-2024 12:58:42:142:658                    Received SIGTERM                                 -
  15-03-2024 12:58:42:221:467            Server performed 1 cycle                                 -
  15-03-2024 12:58:42:221:581                     keypressedValue                                 -1
  15-03-2024 12:58:42:221:610                      dronePositionY                                 15
  15-03-2024 12:58:42:221:637                      dronePositionX                                 15
  15-03-2024 12:58:42:221:684         Closing all links and pipes                                 -
  15-03-2024 12:58:42:221:710                        STOP message                               STOP
  15-03-2024 12:58:42:221:811                   Sent STOP message                                 -
